"id","rank","name","symbol","slug","is_active","first_historical_data","last_historical_data"
10529,342,"Sun (New)","SUN","sun-token",1,2021-06-21,2024-04-26
7127,343,"Velo","VELO","velo",1,2020-09-22,2024-04-26
29175,344,"Wen","WEN","wen",1,2024-01-26,2024-04-26
1586,345,"Ark","ARK","ark",1,2017-03-22,2024-04-26
8420,346,"DAO Maker","DAO","dao-maker",1,2021-02-09,2024-04-26
30636,347,"Zebec Network","ZBCN","zebec-network",1,2024-04-15,2024-04-26
5113,348,"inSure DeFi","SURE","insure",1,2020-01-07,2024-04-26
9260,349,"Zignaly","ZIG","zigcoin",1,2021-04-16,2024-04-26
4092,350,"Dusk","DUSK","dusk",1,2019-07-11,2024-04-26
11865,351,"Bone ShibaSwap","BONE","bone-shibaswap",1,2021-09-13,2024-04-26
28846,352,"Sleepless AI","AI","sleepless-ai",1,2024-01-04,2024-04-26
25023,353,"Milady Meme Coin","LADYS","milady-meme-coin",1,2023-05-08,2024-04-26
10180,354,"Gomining","GMT","gomining-token",1,2021-06-01,2024-04-26
2982,355,"MVL","MVL","mvl",1,2018-07-27,2024-04-26
4660,356,"Telos","TLOS","telos",1,2019-09-19,2024-04-26
24927,357,"crvUSD","CRVUSD","crvusd",1,2023-06-28,2024-04-26
4036,358,"Contentos","COS","contentos",1,2019-06-20,2024-04-26
1230,359,"Steem","STEEM","steem",1,2016-04-18,2024-04-26
3330,360,"Pax Dollar","USDP","paxos-standard",1,2018-09-27,2024-04-26
28047,361,"L7","LSD","l7-dex",1,2023-09-19,2024-04-26
7533,362,"Oraichain","ORAI","oraichain-token",1,2020-10-27,2024-04-26
